track_name,track_artist,track_id,user_id,playlist_id,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity,duration_ms,popularity_binary
Besame Mucho,Cesária Evora,1fcgM5wcrTpuHSFRQ0CDOT,anaserrogomes,6EbLobaQNzCLQlyOgvRyz3,"['afropop', 'cape verdean folk', 'morna', 'musica cabo-verdiana', 'twoubadou', 'world']",0.575,0.432,E,-10.183,0.0272,0.802,0.000252,0.154,0.279,90.157,58,295453,1
Three,Massive Attack,7FKhuZtIPchBVNIhFnNL5W,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.427,0.404,A#,-18.492,0.0618,0.655,0.349,0.0863,0.0803,217.927,52,229066,1
Sour Times,Portishead,6vTtCOimcPs5H1Jr9d0Aep,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['alternative rock', 'art pop', 'dark pop', 'electronica', 'laboratorio', 'trip hop']",0.698,0.633,G#,-6.68,0.0406,0.0508,0.272,0.264,0.55,94.085,68,252266,1
Glory Box,Portishead,3Ty7OTBNSigGEpeW2PqcsC,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['alternative rock', 'art pop', 'dark pop', 'electronica', 'laboratorio', 'trip hop']",0.51,0.434,C#,-10.004,0.0361,0.177,0.516,0.0603,0.207,119.695,76,308626,1
All That We Perceive,Thievery Corporation,2knKUI1k57Q8Ox12Cxj8Pc,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'livetronica', 'trip hop']",0.698,0.832,F,-6.473,0.0342,0.0251,0.947,0.0811,0.951,90.479,62,226133,1
Distractions,Zero 7,4DGPON9kch3YXAzVsozF8R,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.165,0.586,D#,-7.304,0.0442,0.262,0.839,0.18,0.0675,204.186,43,316200,0
Polaris,Zero 7,4YEF0rgt6rIhjQefIkJWTX,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.227,0.542,G#,-10.469,0.0476,0.0298,0.239,0.121,0.187,78.636,45,288266,1
Swimmers,Zero 7,3RMuJ4qdkgs71mBNbPpZu0,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.651,0.492,F#,-11.808,0.0301,0.0805,0.0206,0.0912,0.79,152.034,54,237597,1
Mad About You,Hooverphonic,5drK2kTE2mrUdV33iHWyrx,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.465,0.844,C#,-4.352,0.0379,0.00109,0.399,0.0865,0.155,170.358,63,223733,1
Highschool Lover,Air,366QpkppDb9f5TVamPSpgH,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",0.463,0.188,C#,-14.995,0.0296,0.944,0.973,0.234,0.0504,130.061,58,161500,1
Eden,Hooverphonic,5IpTvvTopPoAhJLbtQ798i,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.246,0.572,E,-9.576,0.0335,0.0205,0.873,0.126,0.169,82.07,51,213000,1
Lebanese Blonde,Thievery Corporation,6k5VMHrwv7mgPpkQSRQtQr,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'livetronica', 'trip hop']",0.808,0.837,A,-6.583,0.0459,0.238,0.862,0.0578,0.654,92.002,65,288826,1
Paradise Circus,Massive Attack,2BndJYJQ17UcEeUFJP5JmY,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.81,0.591,G#,-13.385,0.0638,0.414,0.799,0.072,0.297,136.028,65,297774,1
