track_name,track_artist,track_id,user_id,playlist_id,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability_binary
Besame Mucho,Cesária Evora,1fcgM5wcrTpuHSFRQ0CDOT,anaserrogomes,6EbLobaQNzCLQlyOgvRyz3,"['afropop', 'cape verdean folk', 'morna', 'musica cabo-verdiana', 'twoubadou', 'world']",0.575,0.432,E,-10.183,0.0272,0.802,0.000252,0.154,0.279,90.157,0
Three,Massive Attack,7FKhuZtIPchBVNIhFnNL5W,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.427,0.404,A#,-18.492,0.0618,0.655,0.349,0.0863,0.0803,217.927,0
Sour Times,Portishead,6vTtCOimcPs5H1Jr9d0Aep,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['alternative rock', 'art pop', 'dark pop', 'electronica', 'laboratorio', 'trip hop']",0.698,0.633,G#,-6.68,0.0406,0.0508,0.272,0.264,0.55,94.085,1
Glory Box,Portishead,3Ty7OTBNSigGEpeW2PqcsC,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['alternative rock', 'art pop', 'dark pop', 'electronica', 'laboratorio', 'trip hop']",0.51,0.434,C#,-10.004,0.0361,0.177,0.516,0.0603,0.207,119.695,0
All That We Perceive,Thievery Corporation,2knKUI1k57Q8Ox12Cxj8Pc,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'livetronica', 'trip hop']",0.698,0.832,F,-6.473,0.0342,0.0251,0.947,0.0811,0.951,90.479,1
Distractions,Zero 7,4DGPON9kch3YXAzVsozF8R,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.165,0.586,D#,-7.304,0.0442,0.262,0.839,0.18,0.0675,204.186,0
Polaris,Zero 7,4YEF0rgt6rIhjQefIkJWTX,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.227,0.542,G#,-10.469,0.0476,0.0298,0.239,0.121,0.187,78.636,0
Swimmers,Zero 7,3RMuJ4qdkgs71mBNbPpZu0,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.651,0.492,F#,-11.808,0.0301,0.0805,0.0206,0.0912,0.79,152.034,1
Mad About You,Hooverphonic,5drK2kTE2mrUdV33iHWyrx,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.465,0.844,C#,-4.352,0.0379,0.00109,0.399,0.0865,0.155,170.358,0
La femme d'argent,Air,3ZzhV6JIDKWvWR7wiKWD0C,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",0.517,0.737,F#,-8.189,0.0352,0.434,0.684,0.392,0.558,79.82,0
Highschool Lover,Air,366QpkppDb9f5TVamPSpgH,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",0.463,0.188,C#,-14.995,0.0296,0.944,0.973,0.234,0.0504,130.061,0
Eden,Hooverphonic,5IpTvvTopPoAhJLbtQ798i,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.246,0.572,E,-9.576,0.0335,0.0205,0.873,0.126,0.169,82.07,0
Lebanese Blonde,Thievery Corporation,6k5VMHrwv7mgPpkQSRQtQr,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'livetronica', 'trip hop']",0.808,0.837,A,-6.583,0.0459,0.238,0.862,0.0578,0.654,92.002,1
Paradise Circus,Massive Attack,2BndJYJQ17UcEeUFJP5JmY,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['downtempo', 'electronica', 'trip hop']",0.81,0.591,G#,-13.385,0.0638,0.414,0.799,0.072,0.297,136.028,1
All I Need (feat. Beth Hirsch),Air,6T10XPeC9X5xEaD6tMcK6M,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['ambient pop', 'downtempo', 'electronica', 'indietronica', 'trip hop']",0.327,0.425,G,-11.577,0.027,0.878,0.000873,0.18,0.165,93.946,0
The Truth,Handsome Boy Modeling School,5l7icgnicl7JToRxPkSXyy,anaserrogomes,390qiLsi59juoSTJTFIkoV,"['alternative hip hop', 'trip hop']",0.703,0.393,D,-10.88,0.0455,0.6,6.09e-06,0.113,0.478,79.653,1
Feet Don't Fail Me Now,Joy Crookes,1GVkrFVc94CTjm9bdSmGjp,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['alternative r&b', 'uk contemporary r&b']",0.662,0.84,F#,-3.112,0.0509,0.17,0.000226,0.155,0.568,112.914,1
Trust the Change,Snowk,5dP49R640BUhgm94Q2jcwR,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,"['japanese electropop', 'japanese r&b']",0.706,0.7,B,-7.787,0.23,0.308,4.41e-06,0.38,0.503,107.988,1
Gira da Cura,HOLY NOTHING,4b5ozXcwgdSrOq0mUbbPyD,anaserrogomes,2njC1EIyyCS4JBYSHxsnfB,['latin afrobeat'],0.653,0.896,B,-7.423,0.136,0.468,0.000173,0.0312,0.789,99.995,1
